gene_id	MW1_cornea_mock_1	MW2_cornea_mock_2	MW3_cornea_mock_3	MW4_cornea_CoV2_1	MW5_cornea_CoV2_2	MW6_cornea_CoV2_3
SCAMP3	1248.93502986894	1134.03824552114	1031.19557511402	1106.12233630991	931.700448803101	1384.82665063477
SCAMP4	1139.08416749537	1048.28535349871	1126.71274558772	1130.25973074552	1233.01633862878	1184.12713605002
SCAMP5	157.353937994582	159.255370898802	140.351760696048	183.654088096997	132.816872488953	188.434544249015
SCAND1	245.432557375196	232.757849775172	218.324961082741	227.731069240277	198.234138043213	284.324312328396
SCAND2P	91.0475616069277	94.5031871267616	129.630445642878	112.291356722164	140.746238010681	112.61472762811
SCAP	1568.59114290196	1366.79609529631	1324.56974156895	1476.57886829986	1507.57061981863	1737.16579846134
SCAPER	143.498874271788	141.754780690142	172.515705855559	184.70354002898	157.596139744354	170.594587397037
SCARA3	1294.45881067241	1219.79113754357	1000.00629495934	1304.46875145467	1047.66741955838	1256.60196076118
SCARA5	0.989647408770953	2.62508853129893	1.94933000966733	2.09890386396568	5.94702414129639	6.68998381949166
SCARB1	465.134282122348	434.014637174757	361.60071679329	518.429254399524	489.638320966736	584.258586902272
SCARB2	6216.96502189913	6518.96985272568	6163.7814905681	6594.75594058017	6230.49895869818	6545.03417006934
SCARF1	8.90682667893858	14.0004721669276	16.5693050821723	31.4835579594852	27.7527793260498	20.069951458475
SCARF2	747.18379362207	728.89958219067	961.019694765995	799.682372170925	791.945381482635	720.288257898602
SCARNA1	0.989647408770953	0.875029510432978	0	0	3.96468276086426	0
SCARNA10	3.95858963508381	3.50011804173191	3.89866001933466	2.09890386396568	2.97351207064819	2.22999460649722
SCARNA11	0.989647408770953	0	0	0	0	0
SCARNA12	19.7929481754191	20.1256787399585	37.0372701836793	25.1868463675882	32.7086327771301	16.7249595487292
SCARNA14	0	0	0	1.04945193198284	0	0
SCARNA15	6.92753186139667	13.1254426564947	7.79732003866933	15.7417789797426	7.92936552172852	7.80498112274027
SCARNA16	0	0	0.974665004833666	0	0	1.11499730324861
SCARNA17	7.91717927016763	10.5003541251957	9.74665004833666	6.29671159189705	4.95585345108032	13.3799676389833
SCARNA18	0.989647408770953	1.75005902086596	2.923995014501	2.09890386396568	0.991170690216064	1.11499730324861
SCARNA2	0.989647408770953	0.875029510432978	0	1.04945193198284	0	0
SCARNA20	0	0	0	1.04945193198284	1.98234138043213	0
SCARNA21	0.989647408770953	0	0.974665004833666	1.04945193198284	0	0
SCARNA22	13.8550637227933	11.3753836356287	15.5946400773387	3.14835579594852	8.92053621194458	10.0349757292375
SCARNA23	0	0	0	1.04945193198284	0	0
SCARNA26A	0	0	0.974665004833666	1.04945193198284	0.991170690216064	0
SCARNA26B	1.97929481754191	0.875029510432978	1.94933000966733	0	1.98234138043213	1.11499730324861
SCARNA27	5.93788445262572	2.62508853129893	5.847990029002	2.09890386396568	7.92936552172852	4.45998921299444
SCARNA3	0.989647408770953	0	0	2.09890386396568	0	0
SCARNA4	0.989647408770953	0	3.89866001933466	3.14835579594852	6.93819483151245	1.11499730324861
SCARNA5	0	1.75005902086596	1.94933000966733	0	0.991170690216064	4.45998921299444
SCARNA6	0.989647408770953	0	2.923995014501	2.09890386396568	1.98234138043213	2.22999460649722
SCARNA7	1.97929481754191	6.12520657303084	0	1.04945193198284	0.991170690216064	0
SCARNA8	1.97929481754191	0.875029510432978	1.94933000966733	1.04945193198284	0.991170690216064	2.22999460649722
SCARNA9	2.96894222631286	4.37514755216489	6.82265503383566	12.5934231837941	4.95585345108032	12.2649703357347
SCARNA9L	0.989647408770953	3.50011804173191	0	0	0	8.91997842598888
SCART1	12.8654163140224	12.2504131460617	33.1386101643446	25.1868463675882	36.6733155379944	17.8399568519778
SCCPDH	557.171491138047	632.646336043043	615.013618050043	595.039245434271	486.664808896088	502.863783765123
SCD	9066.1599117507	8974.30265900062	7147.21848044527	12152.6533723613	11915.8540377775	13303.0328250592
